Status,Country,ReactorCode,Reactor Name,Type,Grid Connection,Commercial operation,Shutdown,LinkA,LinkB
Operational,FRANCE,FR-46,FLAMANVILLE-1,PWR,12/1/1985,12/1/1986,1/1/2021,https://en.wikipedia.org/wiki/Flamanville_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Flamanville_Nuclear_Power_Plant
Operational,CHINA,CN-38,FANGCHENGGANG-1,PWR,10/1/2015,1/1/2016,1/1/2021,https://en.wikipedia.org/wiki/Fangchenggang_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Fangchenggang_Nuclear_Power_Plant
Operational,CHINA,CN-36,CHANGJIANG-1,PWR,11/1/2015,12/1/2015,1/1/2021,https://en.wikipedia.org/wiki/Changjiang_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Changjiang_Nuclear_Power_Plant
Operational,CHINA,CN-22,YANGJIANG-1,PWR,12/1/2013,3/1/2014,1/1/2021,https://en.wikipedia.org/wiki/Yangjiang_Nuclear_Power_Station,https://en.wikipedia.org/wiki/Yangjiang_Nuclear_Power_Station
Operational,USA,US-528,PALO VERDE-1,PWR,6/1/1985,1/1/1986,1/1/2021,https://en.wikipedia.org/wiki/Palo_Verde_Nuclear_Generating_Station,https://en.wikipedia.org/wiki/Palo_Verde_Nuclear_Generating_Station
Operational,CHINA,CN-32,TAISHAN-1,PWR,6/1/2018,12/1/2018,1/1/2021,https://en.wikipedia.org/wiki/Taishan_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Taishan_Nuclear_Power_Plant
Operational,CHINA,CN-2,DAYA BAY-1,PWR,8/1/1993,2/1/1994,1/1/2021,https://en.wikipedia.org/wiki/Daya_Bay_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Daya_Bay_Nuclear_Power_Plant
Operational,CHINA,CN-6,LING AO-1,PWR,2/1/2002,5/1/2002,1/1/2021,https://en.wikipedia.org/wiki/Ling_Ao_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Ling_Ao_Nuclear_Power_Plant
Operational,CHINA,CN-84,CEFR,FBR,7/1/2011,,1/1/2021,https://en.wikipedia.org/wiki/China_Experimental_Fast_Reactor,https://en.wikipedia.org/wiki/China_Experimental_Fast_Reactor
Operational,USA,US-397,COLUMBIA,BWR,5/1/1984,12/1/1984,1/1/2021,https://en.wikipedia.org/wiki/Columbia_Generating_Station,https://en.wikipedia.org/wiki/Columbia_Generating_Station
Operational,CHINA,CN-20,FUQING-1,PWR,8/1/2014,11/1/2014,1/1/2021,https://en.wikipedia.org/wiki/Fuqing_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Fuqing_Nuclear_Power_Plant
Operational,CHINA,CN-10,TIANWAN-1,PWR,5/1/2006,5/1/2007,1/1/2021,https://en.wikipedia.org/wiki/Tianwan_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Tianwan_Nuclear_Power_Plant
Operational,CHINA,CN-18,NINGDE-1,PWR,12/1/2012,4/1/2013,1/1/2021,https://en.wikipedia.org/wiki/Ningde_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Ningde_Nuclear_Power_Plant
Operational,USA,US-275,DIABLO CANYON-1,PWR,11/1/1984,5/1/1985,1/1/2021,https://en.wikipedia.org/wiki/Diablo_Canyon_Power_Plant,https://en.wikipedia.org/wiki/Diablo_Canyon_Power_Plant
Operational,CHINA,CN-24,FANGJIASHAN-1,PWR,11/1/2014,12/1/2014,1/1/2021,https://en.wikipedia.org/wiki/Fangjiashan_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Fangjiashan_Nuclear_Power_Plant
Operational,CHINA,CN-1,QINSHAN-1,PWR,12/1/1991,4/1/1994,1/1/2021,https://en.wikipedia.org/wiki/Qinshan_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Qinshan_Nuclear_Power_Plant
Operational,CHINA,CN-4,QINSHAN 2-1,PWR,2/1/2002,4/1/2002,1/1/2021,https://en.wikipedia.org/wiki/Qinshan_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Qinshan_Nuclear_Power_Plant
Operational,CHINA,CN-8,QINSHAN 3-1,PHWR,11/1/2002,12/1/2002,1/1/2021,https://en.wikipedia.org/wiki/Qinshan_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Qinshan_Nuclear_Power_Plant
Operational,CHINA,CN-30,HAIYANG-1,PWR,8/1/2018,10/1/2018,1/1/2021,https://en.wikipedia.org/wiki/Haiyang_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Haiyang_Nuclear_Power_Plant
Operational,CHINA,CN-16,HONGYANHE-1,PWR,2/1/2013,6/1/2013,1/1/2021,https://en.wikipedia.org/wiki/Hongyanhe_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Hongyanhe_Nuclear_Power_Plant
Operational,CHINA,CN-28,SANMEN-1,PWR,6/1/2018,9/1/2018,1/1/2021,https://en.wikipedia.org/wiki/Sanmen_Nuclear_Power_Station,https://en.wikipedia.org/wiki/Sanmen_Nuclear_Power_Station
Operational,"KOREA,REP.OF",KR-7,HANBIT-1,PWR,3/1/1986,8/1/1986,1/1/2021,https://en.wikipedia.org/wiki/Hanbit_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Hanbit_Nuclear_Power_Plant
Operational,"KOREA,REP.OF",KR-21,SHIN-KORI-1,PWR,8/1/2010,2/1/2011,1/1/2021,https://en.wikipedia.org/wiki/Kori_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Kori_Nuclear_Power_Plant
Operational,"KOREA,REP.OF",KR-9,HANUL-1,PWR,4/1/1988,9/1/1988,1/1/2021,https://en.wikipedia.org/wiki/Hanul_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Hanul_Nuclear_Power_Plant
Operational,JAPAN,JP-28,SENDAI-1,PWR,9/1/1983,7/1/1984,1/1/2021,https://en.wikipedia.org/wiki/Sendai_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Sendai_Nuclear_Power_Plant
Operational,JAPAN,JP-8,TAKAHAMA-1,PWR,3/1/1974,11/1/1974,1/1/2021,https://en.wikipedia.org/wiki/Takahama_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Takahama_Nuclear_Power_Plant
Operational,JAPAN,JP-48,SHIKA-1,BWR,1/1/1993,7/1/1993,1/1/2021,https://en.wikipedia.org/wiki/Shika_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Shika_Nuclear_Power_Plant
Operational,JAPAN,JP-33,KASHIWAZAKI KARIWA-1,BWR,2/1/1985,9/1/1985,1/1/2021,https://en.wikipedia.org/wiki/Kashiwazaki-Kariwa_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Kashiwazaki-Kariwa_Nuclear_Power_Plant
Operational,JAPAN,JP-43,TOMARI-1,PWR,12/1/1988,6/1/1989,1/1/2021,https://en.wikipedia.org/wiki/Tomari_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Tomari_Nuclear_Power_Plant
Operational,CZECHREP.,CZ-4,DUKOVANY-1,PWR,2/1/1985,5/1/1985,1/1/2021,https://en.wikipedia.org/wiki/Dukovany_Nuclear_Power_Station,https://www.world-nuclear.org/information-library/country-profiles/countries-a-f/czech-republic.aspx
Operational,RUSSIA,RU-151,AKADEMIK LOMONOSOV-1,PWR,12/1/2019,5/1/2020,1/1/2021,https://en.wikipedia.org/wiki/Akademik_Lomonosov,https://en.wikipedia.org/wiki/Akademik_Lomonosov
Operational,SWEDEN,SE-9,FORSMARK-1,BWR,6/1/1980,12/1/1980,1/1/2021,https://en.wikipedia.org/wiki/Forsmark_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Forsmark_Nuclear_Power_Plant
Operational,SOUTHAFRICA,ZA-1,KOEBERG-1,PWR,4/1/1984,7/1/1984,1/1/2021,https://en.wikipedia.org/wiki/Koeberg_Nuclear_Power_Station,https://en.wikipedia.org/wiki/Koeberg_Nuclear_Power_Station
